//npcId - hitpoints attackAnim defenceAnim deathAnim attackDelay deathDelay respawnDelay maxHit attackStyle attackGfx attackProjectile agressivenessType
53 - 1400 12252 12251 12250 5 1 60 144 SPECIAL2 -1 -1 AGRESSIVE
//Fungal Mage
54 - 1900 12252 12251 12250 5 1 60 214 SPECIAL2 -1 -1 AGRESSIVE
//Fungal Rodents
55 - 1050 12252 12251 12250 5 1 60 110 SPECIAL2 -1 -1 AGRESSIVE
//Experiments
58 - 550 5327 5328 5329 4 1 60 56 MELEE -1 -1 AGRESSIVE
//
59 - 67 5327 5328 5329 5 1 60 15 MELEE -1 -1 AGRESSIVE
//
60 - 320 5327 5328 5329 5 1 60 15 MELEE -1 -1 AGRESSIVE
//stuff
61 - 20 -1 -1 -1 4 1 60 15 MELEE -1 -1 AGRESSIVE
//
62 - 500 -1 -1 -1 4 1 60 50 MELEE -1 -1 AGRESSIVE
//
63 - 350 5327 5328 5329 4 1 60 40 MELEE -1 -1 AGRESSIVE
//
64 - 650 5327 5328 5329 5 2 60 60 MELEE -1 -1 AGRESSIVE
//
66 - 20 191 193 196 4 2 60 10 MELEE -1 -1 PASSIVE
//
67 - 20 190 193 196 4 2 60 10 RANGE -1 -1 PASSIVE
//PC Portals
68 - 20 190 193 196 4 2 60 10 RANGE -1 -1 PASSIVE
//
73 - 220 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//
74 - 240 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//
75 - 300 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//Pest Invasion
76 - 300 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//Splatters
78 - 320 4915 4916 4917 4 1 36 0 MELEE -1 -1 AGRESSIVE
//
79 - 780 4915 4916 4917 4 1 60 80 MELEE -1 -1 AGRESSIVE
//
81 - 107 245 150 244 6 1 60 15 MELEE -1 -1 PASSIVE
//
82 - 790 64 65 67 5 1 60 85 MELEE -1 -1 AGRESSIVE
//
83 - 870 64 65 67 5 1 60 97 MELEE -1 -1 AGRESSIVE
//Shifters
84 - 1570 64 65 67 6 3 100 167 MELEE -1 -1 AGRESSIVE
//
86 - 53 5327 5328 5329 5 1 60 17 MELEE -1 -1 AGRESSIVE
//
87 - 100 14859 14861 14860 5 1 60 17 MELEE -1 -1 AGRESSIVE
//
88 - 120 -1 -1 -1 5 1 60 20 MELEE -1 -1 AGRESSIVE
//
90 - 210 12632 5489 5491 5 1 40 20 MELEE -1 -1 AGRESSIVE
//
91 - 210 12632 5489 5491 5 1 40 20 MELEE -1 -1 AGRESSIVE
//
92 - 210 12632 5489 5491 5 1 40 20 MELEE -1 -1 AGRESSIVE
//
93 - 210 12632 5489 5491 5 1 40 20 MELEE -1 -1 AGRESSIVE
//
94 - 170 -1 -1 -1 4 1 60 100 MAGE -1 -1 PASSIVE
//
95 - 690 6559 6557 6558 4 1 60 100 MELEE -1 -1 AGRESSIVE
//Ravangers
96 - 70 6559 6557 6558 4 1 60 10 MELEE -1 -1 PASSIVE
//
97 - 450 6559 6557 6558 4 1 60 60 MELEE -1 -1 AGRESSIVE
//
100 - 50 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//
101 - 64 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//
102 - 120 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//Spinners
103 - 250 -1 -1 -1 5 1 60 27 MELEE -1 -1 AGRESSIVE
//
104 - 250 -1 -1 -1 5 1 60 27 MELEE -1 -1 AGRESSIVE
//
105 - 270 4925 4927 4929 4 1 60 30 MELEE -1 -1 AGRESSIVE
//
106 - 250 -1 -1 -1 4 1 60 40 MELEE -1 -1 PASSIVE
//
107 - 170 6254 6255 6256 3 1 60 30 MELEE -1 -1 AGRESSIVE
//Torchers
108 - 230 6254 6255 6256 4 1 60 30 MELEE -1 -1 AGRESSIVE
//
109 - 320 6261 6259 6260 4 1 60 30 MELEE -1 -1 AGRESSIVE
//
110 - 1110 4652 4651 4653 6 3 45 116 MELEE -1 -1 AGRESSIVE
//
111 - 700 4672 4671 4673 6 1 60 77 MELEE -1 -1 AGRESSIVE
//
112 - 600 4652 4651 4653 7 4 30 110 MELEE -1 -1 AGRESSIVE
//
113 - 600 2100 8578 8576 7 1 60 73 MELEE -1 -1 AGRESSIVE
//
114 - 480 2100 8578 8576 5 1 60 89 MELEE -1 -1 AGRESSIVE
//
115 - 600 2100 8578 8576 7 1 60 73 MELEE -1 -1 PASSIVE
//
116 - 750 -1 -1 -1 5 1 60 60 MELEE -1 -1 AGRESSIVE
//
117 - 350 4652 4654 4653 7 1 60 48 MELEE -1 -1 AGRESSIVE
//Defilers
118 - 160 99 100 102 7 1 60 48 MELEE -1 -1 PASSIVE
//
119 - 610 -1 -1 -1 5 1 60 63 MELEE -1 -1 AGRESSIVE
//
124 - 540 -1 -1 -1 5 1 60 56 MELEE -1 -1 AGRESSIVE
//
125 - 590 -1 -1 -1 5 1 60 61 MELEE -1 -1 AGRESSIVE
//
126 - 660 14094 14095 14096 5 1 60 70 MELEE -1 -1 PASSIVE
//
127 - 440 -1 -1 -1 4 1 60 70 MELEE -1 -1 AGRESSIVE
//
132 - 50 220 221 223 5 3 60 72 MELEE -1 -1 AGRESSIVE
//
133 - 290 6376 6375 6377 5 1 60 38 MELEE -1 -1 PASSIVE
//
134 - 640 5327 5328 5329 5 2 60 72 MELEE -1 -1 AGRESSIVE
//
138 - 340 1010 1012 1013 4 1 60 30 MELEE -1 -1 PASSIVE
//Brawlers
139 - 340 1010 1012 1013 4 1 60 30 MELEE -1 -1 PASSIVE
//
140 - 240 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
141 - 740 6559 6557 6558 4 1 60 74 MELEE -1 -1 AGRESSIVE
//
142 - 350 6559 6557 6558 4 1 60 40 MELEE -1 -1 AGRESSIVE
//
143 - 690 6559 6557 6558 4 1 60 69 MELEE -1 -1 AGRESSIVE
//Flesh-Spoiler Haasghenahk lvl 79
144 - 300 6254 6255 6256 5 1 60 40 MELEE -1 -1 AGRESSIVE
//Flesh-Spoiler Haasghenahk lvl 275
145 - 590 -1 -1 -1 5 1 60 61 MELEE -1 -1 AGRESSIVE
//Flesh-Spoiler Haasghenahk lvl 334
158 - 670 -1 -1 -1 5 1 60 65 MELEE -1 -1 AGRESSIVE
//Flesh-Spoiler spawn lvl 45
163 - 220 192 193 196 4 1 60 50 MELEE -1 -1 PASSIVE
//Flesh-Spoiler spawn lvl 94
164 - 220 192 193 196 4 1 60 50 MELEE -1 -1 PASSIVE
//Flesh-Spoiler spawn lvl 113
168 - 20 191 193 196 4 1 60 10 MELEE -1 -1 PASSIVE
//Flesh-Spoiler Haasghenahk lvl 84 (boss)
169 - 20 191 193 196 4 1 60 10 MELEE -1 -1 PASSIVE
//Flesh-Spoiler Haasghenahk lvl 249 (boss)
170 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//Flesh-Spoiler Haasghenahk lvl 348 (challenging boss)
172 - 250 -1 -1 -1 4 1 60 20 MAGE -1 -1 AGRESSIVE
//Runebound behemoth lvl 500 (Strong Boss, strong melee defence)
173 - 240 -1 -1 -1 5 1 60 30 MELEE -1 -1 PASSIVE
//Kal'Ger the Warmonger lvl 792 (Powerhouse boss, nearly unstoppable)
174 - 120 -1 -1 -1 4 1 60 20 MAGE -1 -1 AGRESSIVE
//Pest Queen - 599
175 - 80 -1 -1 -1 4 1 60 14 MELEE -1 -1 AGRESSIVE
//Blink
178 - 420 390 388 836 6 1 60 47 MELEE -1 -1 AGRESSIVE
//Mature Grotworms 
179 - 420 390 388 836 6 1 60 47 MELEE -1 -1 AGRESSIVE
//Young Grotworm - 10
180 - 130 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
//Grotworm - 91
181 - 200 422 425 836 4 1 60 30 MELEE -1 -1 AGRESSIVE
//cutscene grotworm
182 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Ganodermic runts
183 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
184 - 230 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Ganodermic Beasts
187 - 170 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
188 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Trolls
189 - 100 422 424 836 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
190 - 400 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
193 - 400 -1 -1 -1 4 1 60 50 MELEE -1 -1 AGRESSIVE
//
201 - 470 -1 -1 -1 4 1 60 50 MELEE -1 -1 AGRESSIVE
//
202 - 370 -1 -1 -1 4 1 60 100 MELEE -1 -1 PASSIVE
//
203 - 370 -1 -1 -1 5 1 60 40 MELEE -1 -1 PASSIVE
//
204 - 370 -1 -1 -1 5 1 60 40 MELEE -1 -1 PASSIVE
//
205 - 700 -1 -1 -1 4 1 60 74 MELEE -1 -1 AGRESSIVE
//
221 - 1420 -1 -1 -1 4 1 60 150 MELEE -1 -1 AGRESSIVE
//
222 - 90 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//
224 - 120 -1 -1 -1 5 1 60 20 MELEE -1 -1 AGRESSIVE
//
237 - 490 -1 -1 -1 4 1 60 75 MELEE -1 -1 AGRESSIVE
//
238 - 800 -1 -1 -1 4 1 60 100 MELEE -1 -1 PASSIVE
//
247 - 500 -1 -1 -1 4 1 60 57 MELEE -1 -1 AGRESSIVE
//
255 - 220 -1 -1 -1 6 1 60 30 MELEE -1 -1 PASSIVE
//
256 - 220 -1 -1 -1 6 1 60 30 MELEE -1 -1 PASSIVE
//
269 - 1160 -1 -1 -1 4 1 60 140 MELEE -1 -1 AGRESSIVE
//
274 - 500 -1 -1 -1 4 1 60 60 MELEE -1 -1 PASSIVE
//
277 - 590 -1 -1 -1 4 1 60 80 MAGE -1 -1 PASSIVE
//Thrower Troll - 67
281 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//
282 - 160 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
296 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//
297 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//
298 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//Mountain troll - 69
299 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//
374 - 700 17505 17507 17506 7 1 60 73 MELEE -1 -1 PASSIVE
//
397 - 107 245 150 244 6 1 60 15 MELEE -1 -1 PASSIVE
//
412 - 80 -1 -1 -1 4 1 60 10 MELEE -1 -1 PASSIVE
//
444 - 64 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//
445 - 64 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//
446 - 50 5327 5328 5329 5 1 60 17 MELEE -1 -1 AGRESSIVE
//Troll general - 113
447 - 320 -1 -1 -1 4 1 60 39 MELEE -1 -1 PASSIVE
//
448 - 320 -1 -1 -1 4 1 60 39 MELEE -1 -1 PASSIVE
//
449 - 320 -1 -1 -1 4 1 60 39 MELEE -1 -1 PASSIVE
//Crawling Hand
459 - 180 -1 -1 -1 4 1 60 30 MAGE -1 -1 AGRESSIVE
//TokHaar-Hur
475 - 220 -1 -1 -1 6 1 60 33 MELEE -1 -1 PASSIVE
//
477 - 1690 -1 -1 -1 5 1 60 92 MELEE -1 -1 AGRESSIVE
//
491 - 200 -1 -1 -1 5 1 60 27 MELEE -1 -1 AGRESSIVE
//
493 - 70 -1 -1 -1 4 1 60 50 MELEE -1 -1 PASSIVE
//
502 - 470 -1 -1 -1 1 1 60 77 MELEE -1 -1 AGRESSIVE
//
504 - 470 -1 -1 -1 1 1 60 77 MELEE -1 -1 AGRESSIVE
//
505 - 600 -1 -1 -1 1 1 60 77 MELEE -1 -1 AGRESSIVE
//
507 - 1000 -1 -1 -1 4 1 60 90 MELEE -1 -1 AGRESSIVE
//
508 - 750 -1 -1 -1 4 1 60 90 MELEE -1 -1 AGRESSIVE
//
509 - 1100 -1 -1 -1 4 1 60 90 MELEE -1 -1 AGRESSIVE
//Mutated jadinko baby - 90
609 - 220 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE
//Mutated jadinko guard - 145
645 - 80 -1 -1 -1 4 1 60 10 MELEE -1 -1 PASSIVE
//Mutated jadinko male - 201
655 - 850 5532 5533 5534 5 1 5 60 MELEE -1 -1 PASSIVE
//Wildy Stryke
667 - 600 -1 -1 -1 4 1 60 180 MELEE -1 -1 AGRESSIVE
//
677 - 1570 -1 -1 -1 5 1 60 167 MELEE -1 -1 AGRESSIVE
//TokHaar-Ket-Dill
688 - 300 -1 -1 -1 4 1 60 160 RANGE -1 -1 AGRESSIVE
//TokHaar-Ket-Dill (after armour broken by pickaxe)
689 - 500 -1 -1 -1 4 1 60 160 RANGE -1 -1 AGRESSIVE
//Har-Aken (Ranged Tentacle)
690 - 700 -1 -1 -1 4 1 60 160 RANGE -1 -1 AGRESSIVE
//Har-Aken (Magic Tentacle)
691 - 900 -1 -1 -1 4 1 60 160 RANGE -1 -1 AGRESSIVE
//jads jad, TokHaar-Jad
708 - 80 169 170 172 4 1 60 10 MELEE -1 -1 PASSIVE
//
709 - 100 169 170 172 4 1 60 10 MELEE -1 -1 PASSIVE
//Bork
742 - 5000 12252 12251 12250 5 1 60 100 SPECIAL2 -1 -1 AGRESSIVE
//
745 - 900 8965 8966 8967 6 1 60 170 MELEE -1 -1 PASSIVE
//Summoning 17 out of 74 so far
749 - 1900 -1 -1 -1 4 1 60 188 MELEE -1 -1 AGRESSIVE
//Barricade
750 - 1900 -1 -1 -1 4 1 60 188 MELEE -1 -1 AGRESSIVE
//
751 - 1900 -1 -1 -1 4 1 60 188 MELEE -1 -1 AGRESSIVE
//War tortoise
752 - 1900 -1 -1 -1 4 1 60 188 MELEE -1 -1 AGRESSIVE
//
753 - 440 -1 -1 -1 4 1 60 50 MELEE -1 -1 AGRESSIVE
//Void spinner
767 - 880 -1 -1 -1 4 1 60 120 MAGE -1 -1 AGRESSIVE
//
795 - 1050 -1 -1 -1 4 1 60 100 MELEE -1 -1 PASSIVE
//PackYak
799 - 250 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
827 - 180 -1 -1 -1 4 1 60 40 MELEE -1 -1 AGRESSIVE
//Wolptinger
837 - 320 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE
//
839 - 340 6559 6557 6558 4 1 60 44 MELEE -1 -1 AGRESSIVE
//Unicorn Stallion
840 - 460 -1 -1 -1 5 1 60 40 MELEE -1 -1 AGRESSIVE
//
842 - 400 -1 -1 -1 4 1 60 60 MELEE -1 -1 AGRESSIVE
//Spirit Wolf
852 - 600 -1 -1 -1 5 1 60 90 MELEE -1 -1 PASSIVE
//
856 - 810 -1 -1 -1 4 1 60 70 MELEE -1 -1 PASSIVE
//DreadFowl
870 - 800 -1 -1 -1 4 1 60 100 MELEE -1 -1 PASSIVE
//
878 - 710 -1 -1 -1 5 1 60 40 MELEE -1 -1 PASSIVE
//Spirit Spider
879 - 70 64 65 67 4 4 60 30 MELEE -1 -1 PASSIVE
//
893 - 250 -1 -1 -1 4 1 60 200 MELEE -1 -1 PASSIVE
//Thorny Snail
894 - 250 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
912 - 1000 -1 -1 -1 4 1 60 200 MAGE -1 -1 AGRESSIVE
//Spirit Mosquito
913 - 1000 -1 -1 -1 4 1 60 200 MAGE -1 -1 AGRESSIVE
//
914 - 1000 -1 -1 -1 4 1 60 200 MAGE -1 -1 AGRESSIVE
//Granit Crab
917 - 320 -1 -1 -1 4 1 60 39 MELEE -1 -1 PASSIVE
//
931 - 900 -1 -1 -1 4 1 60 140 MELEE -1 -1 AGRESSIVE
//Desert Wyrm
934 - 1500 -1 -1 -1 4 1 60 180 MELEE -1 -1 AGRESSIVE
//
938 - 1300 -1 -1 -1 4 1 60 230 MELEE -1 -1 AGRESSIVE
//Spirit Scorpian
941 - 750 12252 12251 12250 5 1 60 85 SPECIAL2 -1 -1 AGRESSIVE
//
950 - 50 5327 5328 5329 5 1 60 17 MELEE -1 -1 AGRESSIVE
//Spriit Tz-keh
988 - 570 -1 -1 -1 4 1 60 80 MELEE -1 -1 PASSIVE
//
989 - 570 -1 -1 -1 4 1 60 80 MELEE -1 -1 PASSIVE
//Albino Rat
990 - 570 -1 -1 -1 4 1 60 80 MELEE -1 -1 PASSIVE
//
997 - 910 -1 -1 -1 4 1 60 160 MELEE -1 -1 AGRESSIVE
//Spirit Kalphite
998 - 20000 64 65 67 4 3 -1 200 RANGE -1 -1 AGRESSIVE
//
999 - 20000 64 65 67 4 3 -1 300 MELEE -1 -1 PASSIVE
//Bunyip
1000 - 20000 64 65 67 4 3 -1 190 MAGE -1 -1 AGRESSIVE
//
1002 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//Abbysal Titan
1004 - 20 -1 -1 -1 4 1 60 15 MELEE -1 -1 AGRESSIVE
//
1007 - 730 -1 -1 -1 5 1 60 200 MAGE -1 -1 AGRESSIVE
//Lava Titan
1009 - 640 5327 5328 5329 5 2 60 72 MELEE -1 -1 AGRESSIVE
//
1017 - 30 5387 5388 5389 5 1 60 15 MELEE -1 -1 PASSIVE
//Geyser Titan
1018 - 70 -1 -1 -1 4 1 60 15 MELEE -1 -1 PASSIVE
//
1019 - 300 -1 -1 -1 4 1 60 60 MELEE -1 -1 PASSIVE
//Fire Titan
1020 - 350 -1 -1 -1 7 1 60 49 MELEE -1 -1 AGRESSIVE
//
1021 - 300 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE
//Ice Titan
1022 - 300 -1 -1 -1 4 1 60 40 MELEE -1 -1 PASSIVE
//
1044 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Moss Titan 
1045 - 100 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
1046 - 250 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Swamp Titan
1053 - 450 -1 -1 -1 5 1 60 30 MELEE -1 -1 AGRESSIVE
//
1085 - 100 -1 -1 -1 4 1 60 10 MELEE -1 -1 PASSIVE
//Iron Titan
1087 - 100 -1 -1 -1 4 1 60 10 MELEE -1 -1 PASSIVE
//
1088 - 100 -1 -1 -1 4 1 60 10 MELEE -1 -1 PASSIVE
//Spirit Terror Bird
1089 - 100 -1 -1 -1 4 1 60 10 MELEE -1 -1 PASSIVE
//
1092 - 530 -1 -1 -1 8 1 60 60 MELEE -1 -1 PASSIVE
//Lucien custom boss
1095 - 1400 13788 13789 13785 7 1 60 300 MELEE -1 -1 AGRESSIVE
//
1096 - 1400 13788 13789 13785 7 1 60 300 MELEE -1 -1 AGRESSIVE
//
1097 - 1260 13790 13787 13785 4 1 60 250 MELEE -1 -1 PASSIVE
//DT Bouncer
1098 - 1200 13788 13792 13785 6 1 60 233 MELEE -1 -1 AGRESSIVE
//DT Black Knight Titan 
1101 - 950 2134 13787 13785 4 2 60 90 RANGE -1 -1 AGRESSIVE
//Evil Chicken
1102 - 950 2134 13787 13785 4 2 60 90 RANGE -1 -1 AGRESSIVE
// Elvarg
1103 - 950 2134 13787 13785 4 2 60 90 RANGE -1 -1 AGRESSIVE
//DT Elvarg
1104 - 950 2134 13787 13785 4 2 60 90 RANGE -1 -1 AGRESSIVE
//Astea Frostweb
1105 - 950 2134 13787 13785 4 2 60 90 RANGE -1 -1 AGRESSIVE
//
1106 - 900 2125 13787 13785 6 2 60 121 MELEE -1 -1 AGRESSIVE
//
1107 - 900 2125 13787 13785 6 2 60 121 MELEE -1 -1 AGRESSIVE
//
1108 - 900 2125 13787 13785 6 2 60 121 MELEE -1 -1 AGRESSIVE
//
1109 - 900 2125 13787 13785 6 2 60 121 MELEE -1 -1 AGRESSIVE
//
1110 - 900 2125 13787 13785 6 2 60 121 MELEE -1 -1 AGRESSIVE
//
1111 - 900 2125 13787 13785 6 2 60 121 MELEE -1 -1 AGRESSIVE
//
1112 - 900 2125 13787 13785 6 2 60 121 MELEE -1 -1 AGRESSIVE
//
1115 - 1500 13791 13787 13785 5 2 60 386 MELEE -1 -1 AGRESSIVE
//
1116 - 1500 13791 13787 13785 5 2 60 386 MELEE -1 -1 AGRESSIVE
//
1117 - 1500 1938 13787 13785 5 2 60 386 MELEE -1 -1 AGRESSIVE
//
1118 - 900 13788 13792 13785 4 1 60 134 MELEE -1 -1 PASSIVE
//
1119 - 900 13788 13792 13785 4 1 60 134 MELEE -1 -1 PASSIVE
//
1120 - 900 13788 13792 13785 4 1 60 134 MELEE -1 -1 PASSIVE
//
1121 - 900 -13788 13792 13785 4 1 60 134 MELEE -1 -1 PASSIVE
//
1122 - 900 13788 13792 13785 4 1 60 134 MELEE -1 -1 PASSIVE
//
1123 - 900 13788 13792 13785 4 1 60 134 MELEE -1 -1 PASSIVE
//
1124 - 900 13788 13792 13785 4 1 60 134 MELEE -1 -1 PASSIVE
//
1125 - 1200 1158 13792 13785 4 1 60 280 MELEE -1 -1 PASSIVE
//
1127 - 900 -1 -1 -1 4 1 60 120 MELEE -1 -1 PASSIVE
//
1129 - 900 -1 -1 -1 4 1 60 120 MELEE -1 -1 PASSIVE
//
1138 - 910 -1 -1 -1 6 1 60 121 MELEE -1 -1 AGRESSIVE
//
1153 - 400 6223 6227 6228 5 1 60 34 MELEE -1 -1 PASSIVE
//
1154 - 900 6223 6227 6229 4 1 60 80 MELEE -1 -1 AGRESSIVE
//
1155 - 1240 6224 6227 -1 4 1 60 124 MELEE -1 -1 AGRESSIVE
//
1156 - 400 6223 6227 6228 5 1 60 34 MELEE -1 -1 PASSIVE
//
1157 - 1240 6224 6232 -1 4 1 60 124 MELEE -1 -1 AGRESSIVE
//
1158 - 2550 6241 6232 6242 5 2 -1 314 SPECIAL -1 -1 AGRESSIVE
//
1160 - 2550 6235 6237 6233 5 4 60 314 SPECIAL -1 -1 AGRESSIVE
//
1172 - 1000 -1 -1 -1 5 1 60 94 MELEE -1 -1 AGRESSIVE
//
1183 - 1060 426 424 836 4 1 60 120 RANGE 24 24 PASSIVE
//
1184 - 1060 428 424 836 4 1 60 120 MELEE -1 -1 PASSIVE
//
1192 - 50 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
1193 - 50 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
1194 - 50 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
1195 - 350 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
//
1196 - 350 -1 -1 -1 4 1 60 29 MELEE -1 -1 PASSIVE
//
1197 - 350 -1 -1 -1 4 1 60 29 MELEE -1 -1 PASSIVE
//
1200 - 1120 -1 -1 -1 6 1 60 157 MELEE -1 -1 AGRESSIVE
//
1203 - 1120 -1 -1 -1 6 1 60 157 MELEE -1 -1 AGRESSIVE
//
1204 - 1120 -1 -1 -1 6 1 60 157 MELEE -1 -1 AGRESSIVE
//
1218 - 500 422 424 836 5 1 60 70 MELEE -1 -1 AGRESSIVE
//
1219 - 450 1273 1271 1272 4 1 60 40 MELEE -1 -1 AGRESSIVE
//
1220 - 790 6016 -1 6031 5 2 60 90 MELEE -1 -1 AGRESSIVE
//
1223 - 490 6016 -1 6031 5 2 60 70 MELEE -1 -1 AGRESSIVE
//
1227 - 80 -1 -1 -1 4 1 60 20 RANGE -1 -1 PASSIVE
//
1230 - 120 -1 -1 -1 4 1 60 40 RANGE -1 -1 PASSIVE
//
1232 - 90 -1 -1 -1 4 1 60 20 RANGE -1 -1 PASSIVE
//
1233 - 4760 7834 7832 7833 5 4 0 152 SPECIAL -1 -1 PASSIVE
//
1234 - 4760 7834 7832 7833 5 4 0 152 SPECIAL -1 -1 PASSIVE
//
1235 - 120 -1 -1 -1 4 1 60 40 RANGE -1 -1 PASSIVE
//
1240 - 380 -1 -1 -1 4 1 60 40 MELEE -1 -1 AGRESSIVE
//
1241 - 380 -1 -1 -1 4 1 60 40 MELEE -1 -1 AGRESSIVE
//
1243 - 560 -1 -1 -1 4 1 60 70 MELEE -1 -1 AGRESSIVE
//
1244 - 560 -1 -1 -1 4 1 60 70 MELEE -1 -1 AGRESSIVE
//
1245 - 740 -1 -1 -1 4 1 60 70 MELEE -1 -1 AGRESSIVE
//
1246 - 740 -1 -1 -1 4 1 60 70 MELEE -1 -1 AGRESSIVE
//
1247 - 920 -1 -1 -1 4 1 60 90 MELEE -1 -1 AGRESSIVE
//Gluttonous behemoth
1248 - 920 -1 -1 -1 4 1 60 90 MELEE -1 -1 AGRESSIVE
//
1249 - 1100 -1 -1 -1 4 1 60 110 MELEE -1 -1 AGRESSIVE
//
1250 - 1100 -1 -1 -1 4 1 60 110 MELEE -1 -1 AGRESSIVE
//
